strategy,mean_auroc,median_auroc,min_auroc,max_auroc,mean_auprc,wins,top3_count
MIN_all,0.5501321503117722,0.5401365021903726,0.4668422404933196,0.638059682043263,0.05565469252142492,0,1
MEDIAN,0.55002229913015,0.5358490229687902,0.44839414182939363,0.6357623143080533,0.056302182618271794,0,0
"W[2,1,1]",0.5489988620252135,0.5522971084249947,0.45459917780061665,0.6308756841282251,0.05427563680424301,0,0
"W[3,1,0]",0.5489135319202949,0.5562178342907389,0.47695272353545737,0.6132707844670315,0.05403521680250996,0,4
P1_only,0.5487466267194923,0.5607425500644669,0.4895243101980656,0.6052697419859264,0.05388119671066003,4,4
"W[2,2,1]",0.5480402430023552,0.555314233441627,0.4449897225077081,0.6325775345321866,0.05436740265687022,0,0
MEAN_P1P2,0.5478188950124632,0.5552145110585796,0.4581963001027749,0.6201980714099556,0.05386954070631207,0,2
MEAN_all,0.5465663799101934,0.5489831725899192,0.4355601233299075,0.6368386760489967,0.054466151941176176,0,0
"W[1,2,1]",0.5462622238024384,0.5455079462124393,0.42975334018499484,0.6377508470158979,0.05446496795573349,0,0
"W[1,1,2]",0.5445408902730674,0.5397174494847439,0.42589928057553955,0.6388141777430284,0.05407886207118019,0,2
P2_only,0.542369490724101,0.535045515405236,0.4199383350462487,0.6303453218660412,0.053672012988146126,1,2
MAX_P1P2,0.5414643429309596,0.5446634045115377,0.4535585817060638,0.6040565545999479,0.05235897791105125,0,0
MEAN_P2P3,0.5406022691942006,0.5286127574686827,0.4066032887975334,0.6424563461037269,0.05452231646606222,1,4
MAX_P1P3,0.5401813928989062,0.5388905505597745,0.43988951695786227,0.6165220224133439,0.05225102112675581,0,1
P3_only,0.5356181725173722,0.5156319145818757,0.43057553956834527,0.6260854834506124,0.05213711003958593,1,2
MAX_P2P3,0.5342423168025179,0.5293675669703009,0.3932168550873587,0.6382056293979672,0.051829682741849376,1,2
MAX_all,0.5333035705257562,0.5389822958163829,0.41458119218910583,0.616940317956737,0.05111471298278735,0,0
